,date,Tavg,RH_avg,RR,ddd_x,ff_avg,station_name,flood
190,2016-11-04,28.2,78.0,0.5,250.0,3.0,Stasiun Klimatologi Banten,0
191,2016-11-05,28.7,432.0,1.4,280.0,6.0,Stasiun Klimatologi Banten,0
192,2016-11-06,29.2,72.0,1.4,40.0,5.0,Stasiun Klimatologi Banten,0
193,2016-11-07,29.3,74.0,1.4,90.0,4.0,Stasiun Klimatologi Banten,0
194,2016-11-08,27.5,84.0,1.4,180.0,3.0,Stasiun Klimatologi Banten,0
195,2016-11-09,26.9,85.0,41.0,260.0,2.0,Stasiun Klimatologi Banten,0
196,2016-11-10,26.8,85.0,0.4,220.0,2.0,Stasiun Klimatologi Banten,0
197,2016-11-11,27.3,84.0,31.0,260.0,3.0,Stasiun Klimatologi Banten,0
198,2016-11-12,27.3,85.0,48.0,260.0,3.0,Stasiun Klimatologi Banten,0
199,2016-11-13,26.2,91.0,16.0,260.0,4.0,Stasiun Klimatologi Banten,0
200,2016-11-14,27.0,89.0,97.0,270.0,3.0,Stasiun Klimatologi Banten,0
201,2016-11-15,27.0,85.0,14.0,260.0,4.0,Stasiun Klimatologi Banten,0
202,2016-11-16,27.5,85.0,40.3,40.0,4.0,Stasiun Klimatologi Banten,0
203,2016-11-17,28.1,79.0,1.4,170.0,5.0,Stasiun Klimatologi Banten,0
204,2016-12-01,28.0,78.0,1.4,260.0,6.0,Stasiun Klimatologi Banten,0
205,2016-12-02,25.1,93.0,1.2,230.0,3.0,Stasiun Klimatologi Banten,0
206,2016-12-03,28.0,80.0,8.5,260.0,4.0,Stasiun Klimatologi Banten,0
207,2016-12-04,25.1,85.0,1.4,240.0,7.0,Stasiun Klimatologi Banten,0
208,2016-12-05,24.7,90.0,7.0,230.0,6.0,Stasiun Klimatologi Banten,0
209,2016-12-06,27.3,82.0,6.5,250.0,4.0,Stasiun Klimatologi Banten,0
210,2016-12-07,28.0,80.0,1.4,260.0,6.0,Stasiun Klimatologi Banten,0
211,2016-12-08,27.5,83.0,1.4,270.0,4.0,Stasiun Klimatologi Banten,0
212,2016-12-09,27.7,82.0,17.5,260.0,7.0,Stasiun Klimatologi Banten,0
213,2016-12-10,28.9,74.0,1.4,260.0,7.0,Stasiun Klimatologi Banten,0
214,2016-12-11,27.4,82.0,0.2,260.0,7.0,Stasiun Klimatologi Banten,0
215,2016-12-12,27.3,80.0,17.0,230.0,5.0,Stasiun Klimatologi Banten,0
216,2016-12-13,27.7,79.0,1.4,230.0,4.0,Stasiun Klimatologi Banten,0
217,2016-12-14,26.9,86.0,1.4,250.0,6.0,Stasiun Klimatologi Banten,0
218,2016-12-15,27.3,80.0,9.4,240.0,6.0,Stasiun Klimatologi Banten,0
219,2016-12-16,28.2,78.0,0.5,240.0,5.0,Stasiun Klimatologi Banten,0
220,2016-12-17,26.3,90.0,1.4,270.0,3.0,Stasiun Klimatologi Banten,0
221,2016-12-18,27.7,84.0,14.0,260.0,6.0,Stasiun Klimatologi Banten,0
222,2016-12-19,27.5,83.0,12.5,230.0,7.0,Stasiun Klimatologi Banten,0
223,2016-12-20,28.8,76.0,1.0,230.0,7.0,Stasiun Klimatologi Banten,0
224,2016-12-21,28.1,80.0,1.4,230.0,7.0,Stasiun Klimatologi Banten,0
225,2016-12-22,26.5,82.0,1.4,260.0,8.0,Stasiun Klimatologi Banten,0
226,2016-12-23,28.2,85.0,0.4,250.0,10.0,Stasiun Klimatologi Banten,0
227,2016-12-24,28.0,64.0,1.4,260.0,7.0,Stasiun Klimatologi Banten,0
228,2016-12-25,28.3,78.0,1.4,230.0,5.0,Stasiun Klimatologi Banten,0
229,2016-12-26,28.4,76.0,2.5,230.0,4.0,Stasiun Klimatologi Banten,0
230,2016-12-27,27.3,79.0,0.7,270.0,3.0,Stasiun Klimatologi Banten,0
231,2016-12-28,28.1,77.0,1.4,290.0,7.0,Stasiun Klimatologi Banten,0
232,2016-12-29,27.6,78.0,1.4,260.0,5.0,Stasiun Klimatologi Banten,0
233,2016-12-30,27.6,79.0,1.4,260.0,4.0,Stasiun Klimatologi Banten,0
234,2016-12-31,29.0,76.0,0.1,260.0,5.0,Stasiun Klimatologi Banten,0
235,2017-01-01,24.9,94.0,6.0,260.0,5.0,Stasiun Klimatologi Banten,0
236,2017-01-02,26.2,85.0,19.0,270.0,4.0,Stasiun Klimatologi Banten,0
237,2017-01-03,25.0,88.0,0.5,260.0,5.0,Stasiun Klimatologi Banten,0
238,2017-01-04,26.5,85.0,20.0,250.0,9.0,Stasiun Klimatologi Banten,0
239,2017-01-05,27.2,83.0,1.4,260.0,7.0,Stasiun Klimatologi Banten,0
240,2017-01-06,27.0,85.0,1.4,260.0,8.0,Stasiun Klimatologi Banten,0
241,2017-01-10,28.4,77.0,1.4,180.0,1.0,Stasiun Klimatologi Banten,1
242,2017-02-01,24.9,94.0,6.0,260.0,5.0,Stasiun Klimatologi Banten,0
243,2017-02-02,26.2,85.0,19.0,270.0,4.0,Stasiun Klimatologi Banten,0
244,2017-02-03,25.0,88.0,0.5,260.0,5.0,Stasiun Klimatologi Banten,0
245,2017-02-04,26.5,85.0,20.0,250.0,9.0,Stasiun Klimatologi Banten,0
246,2017-02-05,27.2,83.0,1.4,20.0,7.0,Stasiun Klimatologi Banten,0
247,2017-02-06,27.0,85.0,1.4,260.0,8.0,Stasiun Klimatologi Banten,0
248,2017-02-07,29.8,78.0,1.4,260.0,5.0,Stasiun Klimatologi Banten,0
249,2017-02-08,27.4,86.0,1.2,230.0,5.0,Stasiun Klimatologi Banten,0
250,2017-02-09,25.5,90.0,1.4,220.0,4.0,Stasiun Klimatologi Banten,0
251,2017-02-10,25.3,93.0,34.5,260.0,4.0,Stasiun Klimatologi Banten,0
252,2017-02-11,25.4,92.0,8.5,270.0,5.0,Stasiun Klimatologi Banten,0
253,2017-02-12,26.0,91.0,29.0,270.0,5.0,Stasiun Klimatologi Banten,1
254,2017-02-13,26.6,84.0,15.0,280.0,6.0,Stasiun Klimatologi Banten,1
255,2017-02-14,26.1,89.0,39.5,260.0,4.0,Stasiun Klimatologi Banten,0
256,2017-02-15,26.5,84.0,15.7,260.0,6.0,Stasiun Klimatologi Banten,0
257,2017-02-16,26.7,84.0,2.0,270.0,4.0,Stasiun Klimatologi Banten,1
258,2017-02-17,27.1,82.0,13.5,270.0,5.0,Stasiun Klimatologi Banten,0
259,2017-02-18,26.7,86.0,1.4,270.0,4.0,Stasiun Klimatologi Banten,0
260,2017-02-19,26.3,93.0,7.3,270.0,3.0,Stasiun Klimatologi Banten,1
261,2017-02-20,25.8,93.0,17.8,4.0,46.0,Stasiun Klimatologi Banten,0
262,2017-02-21,25.5,90.0,73.8,260.0,4.0,Stasiun Klimatologi Banten,1
263,2017-02-22,27.2,84.0,9.4,270.0,2.0,Stasiun Klimatologi Banten,1
264,2017-02-23,26.5,88.0,2.0,250.0,6.0,Stasiun Klimatologi Banten,0
265,2017-02-24,26.8,85.0,31.0,270.0,3.0,Stasiun Klimatologi Banten,1
266,2017-02-25,27.0,83.0,1.4,230.0,5.0,Stasiun Klimatologi Banten,1
267,2017-02-26,27.7,81.0,41.6,170.0,4.0,Stasiun Klimatologi Banten,1
268,2017-02-27,27.5,84.0,3.4,270.0,4.0,Stasiun Klimatologi Banten,1
269,2017-02-28,28.2,80.0,1.4,270.0,2.0,Stasiun Klimatologi Banten,1
270,2017-03-01,27.1,84.0,1.4,260.0,4.0,Stasiun Klimatologi Banten,1
271,2017-03-02,25.8,92.0,1.4,260.0,5.0,Stasiun Klimatologi Banten,1
272,2017-03-03,27.0,89.0,33.0,270.0,5.0,Stasiun Klimatologi Banten,1
273,2017-03-04,26.7,85.0,30.7,240.0,4.0,Stasiun Klimatologi Banten,1
274,2017-03-05,27.4,83.0,1.5,230.0,3.0,Stasiun Klimatologi Banten,1
275,2017-03-06,27.0,87.0,1.4,250.0,2.0,Stasiun Klimatologi Banten,1
276,2017-03-07,25.8,90.0,18.8,240.0,2.0,Stasiun Klimatologi Banten,1
277,2017-03-08,27.6,82.0,30.5,270.0,1.0,Stasiun Klimatologi Banten,1
278,2017-03-09,27.6,80.0,1.4,280.0,1.0,Stasiun Klimatologi Banten,0
279,2017-03-10,26.9,84.0,1.4,40.0,1.0,Stasiun Klimatologi Banten,0
280,2017-03-11,27.9,82.0,1.4,270.0,1.0,Stasiun Klimatologi Banten,0
281,2017-03-12,28.5,75.0,1.4,260.0,2.0,Stasiun Klimatologi Banten,0
282,2017-03-13,28.7,72.0,1.4,240.0,2.0,Stasiun Klimatologi Banten,0
283,2017-03-14,28.7,73.0,1.4,250.0,1.0,Stasiun Klimatologi Banten,0
284,2017-03-15,29.0,71.0,1.4,240.0,3.0,Stasiun Klimatologi Banten,0
285,2017-03-16,28.0,80.0,1.4,60.0,1.0,Stasiun Klimatologi Banten,0
286,2017-03-17,27.5,85.0,1.4,240.0,1.0,Stasiun Klimatologi Banten,0
287,2017-03-18,26.7,84.0,57.0,240.0,2.0,Stasiun Klimatologi Banten,0
288,2017-03-19,27.5,80.0,3.6,240.0,2.0,Stasiun Klimatologi Banten,0
289,2017-03-20,26.4,88.0,1.4,230.0,2.0,Stasiun Klimatologi Banten,0
290,2017-03-21,27.4,85.0,23.0,220.0,1.0,Stasiun Klimatologi Banten,0
291,2017-03-22,26.7,88.0,37.0,260.0,1.0,Stasiun Klimatologi Banten,0
292,2017-03-23,28.4,77.0,39.5,0.0,0.0,Stasiun Klimatologi Banten,0
293,2017-03-24,28.4,77.0,8.9,290.0,1.0,Stasiun Klimatologi Banten,0
294,2017-03-25,27.4,87.0,1.4,140.0,1.0,Stasiun Klimatologi Banten,0
295,2017-03-26,26.0,92.0,2.1,240.0,1.0,Stasiun Klimatologi Banten,0
296,2017-03-27,28.4,77.0,29.5,260.0,2.0,Stasiun Klimatologi Banten,0
297,2017-03-28,28.4,77.0,1.4,290.0,1.0,Stasiun Klimatologi Banten,1
298,2017-03-29,27.3,84.0,1.4,200.0,1.0,Stasiun Klimatologi Banten,0
299,2017-03-30,27.7,82.0,0.6,260.0,3.0,Stasiun Klimatologi Banten,0
